Ypos,Zpos,Scan_min,Ext_y_min,Ext_z_min
33.25,34.5,0.27301649261993,100.0,-10.0
33.25,34.75,0.25186991930976,100.0,0.0
33.25,35.0,0.27210117661434,100.0,10.0
33.25,35.25,0.23146387567878,90.0,20.0
33.25,35.5,0.22453039884021,90.0,30.0
33.25,35.75,0.26469631426368,90.0,40.0
33.25,36.0,0.32178948519843,90.0,50.0
33.25,36.25,0.28710668147142,90.0,70.0
33.25,36.5,0.2881982082212,90.0,80.0
33.25,36.75,0.28588150575285,100.0,90.0
33.25,37.0,0.25447687193142,100.0,100.0
33.25,37.25,0.24028539690196,100.0,110.0
33.25,37.5,0.27985488639817,100.0,110.0
33.25,37.75,0.15078252255944,100.0,120.0
33.25,38.0,0.33947492376104,110.0,120.0
33.25,38.25,0.10662858886526,110.0,120.0
33.25,38.5,0.12443148434207,110.0,110.0
33.5,31.5,0.29171132368698,110.0,-110.0
33.5,31.75,0.22914929113263,110.0,-110.0
33.5,32.0,0.1211929371001,110.0,-110.0
33.5,32.25,0.32593468198302,100.0,-110.0
33.5,32.5,0.084911773891098,100.0,-100.0
33.5,32.75,0.10672825923082,100.0,-90.0
33.5,33.0,0.2462139891421,100.0,-80.0
33.5,33.25,0.18161210764094,90.0,-70.0
33.5,33.5,0.058574067227296,90.0,-60.0
33.5,33.75,0.10061772316821,90.0,-50.0
33.5,34.0,0.23404873974544,90.0,-40.0
33.5,34.25,0.26377246838239,80.0,-30.0
33.5,34.5,0.2713275758945,80.0,-20.0
33.5,34.75,0.2494684195419,80.0,0.0
33.5,35.0,0.14317803828869,80.0,10.0
33.5,35.25,0.060218336158939,80.0,20.0
33.5,35.5,0.094538191836493,80.0,30.0
33.5,35.75,0.17715621939307,80.0,40.0
33.5,36.0,0.25413776607992,80.0,50.0
33.5,36.25,0.28431128710868,80.0,70.0
33.5,36.5,0.21380148341824,80.0,80.0
33.5,36.75,0.1657426013654,80.0,90.0
33.5,37.0,0.15794229344033,80.0,100.0
33.5,37.25,0.19699348628044,80.0,110.0
33.5,37.5,0.3168729466376,80.0,110.0
33.5,37.75,0.27011239033671,80.0,120.0
33.5,38.0,0.24658216444226,90.0,130.0
33.5,38.25,0.27789979284366,90.0,130.0
33.5,38.5,0.24927572717005,90.0,120.0
33.75,31.25,0.28055720284944,90.0,-90.0
33.75,31.5,0.17929799783475,100.0,-110.0
33.75,31.75,0.29870710367594,100.0,-120.0
33.75,32.0,0.28311724004678,90.0,-110.0
33.75,32.25,0.12670050951906,90.0,-110.0
33.75,32.5,0.27937800763192,90.0,-100.0
33.75,32.75,0.19290507016477,80.0,-90.0
33.75,33.0,0.1933139202369,80.0,-80.0
33.75,33.25,0.2556503179381,80.0,-70.0
33.75,33.5,0.28546686749988,70.0,-60.0
33.75,33.75,0.14789057551096,70.0,-50.0
33.75,34.0,0.019711702532087,70.0,-40.0
33.75,34.25,0.10280579953477,70.0,-30.0
33.75,34.5,0.21644979910372,70.0,-20.0
33.75,34.75,0.32730880240886,70.0,-10.0
33.75,35.0,0.33946405787207,60.0,10.0
33.75,35.25,0.23975462383916,60.0,20.0
33.75,35.5,0.16205137947049,60.0,30.0
33.75,35.75,0.14342605670367,60.0,40.0
33.75,36.0,0.18721329429215,60.0,50.0
33.75,36.25,0.26138348101987,60.0,60.0
33.75,36.5,0.29222362272219,60.0,80.0
33.75,36.75,0.25814215945671,60.0,90.0
