Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
33.5,34.25,0.46791303545343,5.0,0.0
33.5,34.5,0.35040230789821,5.0,0.0
33.5,34.75,0.32824299113351,5.0,0.0
33.5,35.0,0.35700205236504,5.0,0.0
33.5,35.25,0.41184489192993,5.0,0.0
33.5,35.5,0.4101367293285,5.0,0.0
33.5,35.75,0.39038058701548,5.0,0.0
33.5,36.0,0.44953502354175,5.0,0.0
33.5,36.25,0.60823052596675,7.5,0.0
33.5,36.5,0.065340778162627,7.5,2.5
33.5,36.75,0.51156471212872,7.5,5.0
33.5,37.0,0.38970608120014,10.0,7.5
33.5,37.25,0.27780736146039,10.0,10.0
33.5,37.5,0.40598272742018,12.5,15.0
33.5,37.75,0.79420954870081,15.0,20.0
33.5,38.0,0.75454266196827,15.0,25.0
33.5,38.25,0.17541872293109,17.5,27.5
33.5,38.5,0.39294402189282,20.0,27.5
33.75,31.25,0.28688495883663,12.5,-27.5
33.75,31.5,0.65171401170431,10.0,-32.5
33.75,31.75,0.11613057684405,10.0,-30.0
33.75,32.0,0.58623040174006,10.0,-25.0
33.75,32.25,0.45927004886007,7.5,-20.0
33.75,32.5,0.33035736677151,7.5,-15.0
33.75,32.75,0.4956431705126,7.5,-10.0
33.75,33.0,0.57026699143845,5.0,-7.5
33.75,33.25,0.36423105406186,5.0,-5.0
33.75,33.5,0.21609278922664,5.0,-2.5
33.75,33.75,0.49169537251425,5.0,-2.5
33.75,34.0,0.45200786323011,5.0,0.0
33.75,34.25,0.40763715079579,5.0,0.0
33.75,34.5,0.43603011009626,5.0,0.0
33.75,34.75,0.48093984936704,5.0,0.0
33.75,35.0,0.55369345402449,5.0,0.0
33.75,35.25,0.59841117099676,5.0,0.0
33.75,35.5,0.6047912814006,5.0,0.0
33.75,35.75,0.53492727673305,5.0,0.0
33.75,36.0,0.28963199626318,5.0,0.0
33.75,36.25,0.20935030775043,5.0,0.0
33.75,36.5,0.49645731631707,5.0,2.5
33.75,36.75,0.7416087321572,7.5,2.5
33.75,37.0,0.54925419114168,7.5,5.0
33.75,37.25,0.51765145107408,7.5,10.0
33.75,37.5,0.34688130940816,10.0,12.5
33.75,37.75,0.56397661039962,10.0,17.5
33.75,38.0,0.30623461753361,12.5,22.5
33.75,38.25,0.27949744501818,15.0,27.5
33.75,38.5,0.75231365661062,17.5,27.5
33.75,38.75,0.37415686210305,17.5,20.0
34.0,31.25,0.28380819040723,10.0,-30.0
